Couqley Gemayzeh,,,,,,,,,,,,,,,,,
Menu Engineering WorkSheet,,,,,,,,,,,,,,,,,
08-Feb-26,,,,,,Year: 2026 - Month: 1,,,,,,,,Page 1 of,, 12,
Menu Item ,Qty,Popularity,,Item cost,Item Sell Price,,Item Profit,Tot. Cost,Tot Revenue,Tot Profit,PL1,Profit ,Popularit,,Menu Item ,,Menu
Menu : Tables,,,,,,,,,,,,,,,,,
Black Label Gls,24.00,0.10,%,1.66,9.01,,7.35,39.93,216.22,176.28,9.01,High,Low,,Challenge,,Tables
Chivas 12Y Gls,6.00,0.02,%,1.54,9.01,,7.47,9.26,54.05,44.80,9.01,High,Low,,Challenge,,Tables
Chivas 18Y Gls,4.00,0.02,%,4.63,16.22,,11.59,18.51,64.86,46.35,16.22,High,Low,,Challenge,,Tables
Glenfiddich 12 Gls,4.00,0.02,%,2.31,10.81,,8.50,9.26,43.24,33.99,10.81,High,Low,,Challenge,,Tables
Glenfiddich 15 Gls,6.00,0.02,%,3.86,14.41,,10.56,23.14,86.49,63.34,14.41,High,Low,,Challenge,,Tables
Jameson Gls,5.00,0.02,%,1.26,7.21,,5.94,6.31,36.03,29.72,7.21,Low,Low,,Dog,,Tables
Laphroaig Gls,4.00,0.02,%,2.78,12.61,,9.84,11.11,50.45,39.34,12.61,High,Low,,Challenge,,Tables
Macallan 12 Gls,5.00,0.02,%,5.54,19.82,,14.28,27.69,99.10,71.41,19.82,High,Low,,Challenge,,Tables
Maker's Mark Gls,3.00,0.01,%,2.72,11.71,,8.99,8.16,35.14,26.98,11.71,High,Low,,Challenge,,Tables
Monkey Shoulder Gls,5.00,0.02,%,1.63,11.71,,10.08,8.14,58.56,50.42,11.71,High,Low,,Challenge,,Tables
Old Parr Gls,4.00,0.02,%,3.02,10.81,,7.79,12.09,43.24,31.16,10.81,High,Low,,Challenge,,Tables
Group: White Wine - Europe,,,,,,,,,,,,,,,,,
Menu : Tables,,,,,,,,,,,,,,,,,
Pinot Grigio Magna Terra 2024,2.00,0.01,%,8.25,37.84,,29.59,16.50,75.68,59.18,37.84,High,Low,,Challenge,,Tables
Group: White Wine - France,,,,,,,,,,,,,,,,,
Menu : Tables,,,,,,,,,,,,,,,,,
"Entre 2 Mers, Chateau Martinon 2023 White",1.00,0.00,%,12.16,42.34,,30.18,12.16,42.34,30.18,42.34,High,Low,,Challenge,,Tables
Group: White Wine - Lebanon,,,,,,,,,,,,,,,,,
Menu : Tables,,,,,,,,,,,,,,,,,
Adeenne Blanc,1.00,0.00,%,8.33,26.13,,17.80,8.33,26.13,17.80,26.13,High,Low,,Challenge,,Tables
Altitudes Ixsir Lebanon,12.00,0.05,%,9.68,28.83,,19.15,116.16,345.95,229.79,28.83,High,Low,,Challenge,,Tables
Blanc de Blanc Btl,14.00,0.06,%,4.09,19.82,,15.72,57.33,277.48,220.15,19.82,High,Low,,Challenge,,Tables
Château Trois Collines “Naysa”,1.00,0.00,%,5.36,18.92,,13.56,5.36,18.92,13.56,18.92,High,Low,,Challenge,,Tables
Latourba Chardonnay,1.00,0.00,%,10.81,32.43,,21.62,10.81,32.43,21.62,32.43,High,Low,,Challenge,,Tables
Reve Blanc,2.40,0.01,%,4.12,19.82,,15.69,9.90,47.57,37.67,19.82,High,Low,,Challenge,,Tables
,,,,,,,,299.00,,,,,,,,,
REP_S_00506,,"Copyright © 2026 Omega Software, Inc. All Rights Reserved.",,,,,,,,,,,,www.omegapos.com,,,
<div style='background-color:white;border: 2px solid #eee; padding:10px 20px'><div style='text-align: center; border-bottom: 1px solid #eee; padding: 10px 0px 20px 0px; color: #4d5b76; font-size: xx-large;'>Error Occured</div><br><div style='line-height: 30px;'>Cannot modify header information - headers already sent by (output started at /var/www/html/cmsomegasoftware/public_html/app/Http/Controllers/ReportsController.php:2684)</div><footer style='margin-top: 30px; padding: 10px 0; border-top: 1px solid #eee; text-align: center;color:#4d5b76'><div style='font-size: 14px;'>&copy; 2026 Omega Software. All rights reserved.</div></footer></div>
