Couqley Gemayzeh,,,,,,,,,,,,,,,
Complete Report,,,,,,,,,,,,,,,
,,,,,,To Date: 31-Jan-2026,,,,,,,,,
14-Feb-26,,,From Date: 01-Jan-2026,,,,,,,,,,Page 1 of, 41,
Summary Of Sales by Items,,,,,,,,,,,,,,,
Description,Qty,Mode 1,,Qty,Mode 2,,Qty,Mode 3,Qty,Mode 4,Qty,Total Amount,,,%
Branch: Couqley Gemayzeh,,,,,,,,,,,,,,,
Division: Alcoholic Beverages,,,,,,,,,,,,,,,
Group: Apero,,,,,,,,,,,,,,,
Set Menu 60$,26.00,"1,405.40",,0.00,0.00,,0.00,0.00,0.00,0.00,26.00,"1,405.40",,,52.54
Steak Frites Monday's Formula,14.00,832.43,,0.00,0.00,,0.00,0.00,0.00,0.00,14.00,832.43,,,31.12
Toters Bundle,2.00,126.13,,0.00,0.00,,0.00,0.00,0.00,0.00,2.00,126.13,,,4.72
Formulas,110.00,"2,674.78",,0.00,0.00,,0.00,0.00,0.00,0.00,110.00,"2,674.78",,,3.76
Group: Kids Menu,,,,,,,,,,,,,,,
Crispy Chicken Strips,20.00,180.18,,0.00,0.00,,0.00,0.00,0.00,0.00,20.00,180.18,,,26.36
Free Scoop Of Ice Cream,19.00,0.00,,0.00,0.00,,0.00,0.00,0.00,0.00,19.00,0.00,,,0.00
Kids Bistro Burger,8.00,111.71,,0.00,0.00,,0.00,0.00,0.00,0.00,8.00,111.71,,,16.34
Kids Couqley’s Steak Frites,22.00,297.30,,0.00,0.00,,0.00,0.00,0.00,0.00,22.00,297.30,,,43.49
Kids Penne Arrabbiata,1.00,6.08,,0.00,0.00,,0.00,0.00,0.00,0.00,1.00,6.08,,,0.89
Kids Poulet Frites,4.00,43.24,,0.00,0.00,,0.00,0.00,0.00,0.00,4.00,43.24,,,6.33
Kids Tagliatelle Au Poulet,4.00,45.04,,0.00,0.00,,0.00,0.00,0.00,0.00,4.00,45.04,,,6.59
Kids Menu,78.00,683.57,,0.00,0.00,,0.00,0.00,0.00,0.00,78.00,683.57,,,0.95
Group: Ladies Night,,,,,,,,,,,,,,,
,,,,,,To Date: 31-Jan-2026,,,,,,,,,
14-Feb-26,,,From Date: 01-Jan-2026,,,,,,,,,,Page 6 of, 41,
Summary Of Sales by Items,,,,,,,,,,,,,,,
Description,Qty,Mode 1,,Qty,Mode 2,,Qty,Mode 3,Qty,Mode 4,Qty,Total Amount,,,%
Couqley Steak Regular  Frites OH,22.00,634.24,,0.00,0.00,,0.00,0.00,0.00,0.00,22.00,634.24,,,78.57
Fish And Chips OH,1.00,28.83,,0.00,0.00,,0.00,0.00,0.00,0.00,1.00,28.83,,,3.57
Pave De Saumon OH,1.00,28.83,,0.00,0.00,,0.00,0.00,0.00,0.00,1.00,28.83,,,3.57
Poulet Frites OH,2.00,57.66,,0.00,0.00,,0.00,0.00,0.00,0.00,2.00,57.66,,,7.14
Regular Mushroom Steak Frites OH,1.00,28.83,,0.00,0.00,,0.00,0.00,0.00,0.00,1.00,28.83,,,3.57
Truffle Brie Burger OH,1.00,28.83,,0.00,0.00,,0.00,0.00,0.00,0.00,1.00,28.83,,,3.57
Ladies Night,28.00,807.21,,0.00,0.00,,0.00,0.00,0.00,0.00,28.00,807.21,,,1.11
Group: Les Sauces,,,,,,,,,,,,,,,
Bearnaise Sauce,57.00,24.33,,0.00,0.00,,0.00,0.00,0.00,0.00,57.00,24.33,,,2.54
Bordelaise Sauce,1.00,0.00,,0.00,0.00,,0.00,0.00,0.00,0.00,1.00,0.00,,,0.00
Couqley Sauce (Steak Frite),394.00,716.26,,0.00,0.00,,0.00,0.00,0.00,0.00,394.00,716.26,,,74.65
Mushroom Sauce,108.00,137.85,,0.00,0.00,,0.00,0.00,0.00,0.00,108.00,137.85,,,14.37
Roquefort Sauce,12.00,24.33,,0.00,0.00,,0.00,0.00,0.00,0.00,12.00,24.33,,,2.54
Sauces Aux Herbes (Poulet Frites),29.00,56.76,,0.00,0.00,,0.00,0.00,0.00,0.00,29.00,56.76,,,5.92
Les Sauces,601.00,959.52,,0.00,0.00,,0.00,0.00,0.00,0.00,601.00,959.52,,,1.30
Group: Modifier,,,,,,,,,,,,,,,
Add Cheddar Cheese Slice,7.00,12.61,,0.00,0.00,,0.00,0.00,0.00,0.00,7.00,12.61,,,3.16
Add Grenadine,4.00,3.60,,0.00,0.00,,0.00,0.00,0.00,0.00,4.00,3.60,,,0.90
Add Mexican Beer,10.00,9.01,,0.00,0.00,,0.00,0.00,0.00,0.00,10.00,9.01,,,2.25
Add Truffle Mayo,1.00,3.60,,0.00,0.00,,0.00,0.00,0.00,0.00,1.00,3.60,,,0.90
Boule Chocolat,16.00,0.00,,0.00,0.00,,0.00,0.00,0.00,0.00,16.00,0.00,,,0.00
Boule Citron,20.00,0.00,,0.00,0.00,,0.00,0.00,0.00,0.00,20.00,0.00,,,0.00
Boule Fraise,12.00,0.00,,0.00,0.00,,0.00,0.00,0.00,0.00,12.00,0.00,,,0.00
,,,,,,To Date: 31-Jan-2026,,,,,,,,,
14-Feb-26,,,From Date: 01-Jan-2026,,,,,,,,,,Page 7 of, 41,
Summary Of Sales by Items,,,,,,,,,,,,,,,
Description,Qty,Mode 1,,Qty,Mode 2,,Qty,Mode 3,Qty,Mode 4,Qty,Total Amount,,,%
Boule Vanille,20.00,0.00,,0.00,0.00,,0.00,0.00,0.00,0.00,20.00,0.00,,,0.00
Crispy,50.00,0.00,,0.00,0.00,,0.00,0.00,0.00,0.00,50.00,0.00,,,0.00
Cuit,13.00,0.00,,0.00,0.00,,0.00,0.00,0.00,0.00,13.00,0.00,,,0.00
Cut in Half,49.00,0.00,,0.00,0.00,,0.00,0.00,0.00,0.00,49.00,0.00,,,0.00
Extra 1$,24.50,22.07,,0.00,0.00,,0.00,0.00,0.00,0.00,24.50,22.07,,,5.52
Extra Caesar Sauce,2.00,4.50,,0.00,0.00,,0.00,0.00,0.00,0.00,2.00,4.50,,,1.13
Extra Caramel,10.00,22.52,,0.00,0.00,,0.00,0.00,0.00,0.00,10.00,22.52,,,5.64
Extra Chevre Spring Rolls,9.00,32.43,,0.00,0.00,,0.00,0.00,0.00,0.00,9.00,32.43,,,8.12
Extra Chicken,28.00,100.91,,0.00,0.00,,0.00,0.00,0.00,0.00,28.00,100.91,,,25.26
Extra Fresh Goat Cheese,0.00,0.00,,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,,,0.00
Extra Fries,78.00,0.00,,0.00,0.00,,0.00,0.00,0.00,0.00,78.00,0.00,,,0.00
Extra Full Chicken Breast,0.00,0.00,,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,,,0.00
Extra Grilled Potatoes & Vegetables,7.00,0.00,,0.00,0.00,,0.00,0.00,0.00,0.00,7.00,0.00,,,0.00
Extra Parmesan,6.00,0.00,,0.00,0.00,,0.00,0.00,0.00,0.00,6.00,0.00,,,0.00
Extra Shrimp,5.00,27.03,,0.00,0.00,,0.00,0.00,0.00,0.00,5.00,27.03,,,6.76
Extra Side Salad,65.00,0.00,,0.00,0.00,,0.00,0.00,0.00,0.00,65.00,0.00,,,0.00
Extra Tagliatelle,13.00,105.40,,0.00,0.00,,0.00,0.00,0.00,0.00,13.00,105.40,,,26.38
Extra Tartare Sauce,4.00,0.00,,0.00,0.00,,0.00,0.00,0.00,0.00,4.00,0.00,,,0.00
Extra Truffle Oil,1.00,1.80,,0.00,0.00,,0.00,0.00,0.00,0.00,1.00,1.80,,,0.45
Extra Vegetables,30.00,54.06,,0.00,0.00,,0.00,0.00,0.00,0.00,30.00,54.06,,,13.53
Medium,515.00,0.00,,0.00,0.00,,0.00,0.00,0.00,0.00,515.00,0.00,,,0.00
Medium Rare,337.00,0.00,,0.00,0.00,,0.00,0.00,0.00,0.00,337.00,0.00,,,0.00
Medium Well,863.00,0.00,,0.00,0.00,,0.00,0.00,0.00,0.00,863.00,0.00,,,0.00
,,,,,,To Date: 31-Jan-2026,,,,,,,,,
14-Feb-26,,,From Date: 01-Jan-2026,,,,,,,,,,Page 8 of, 41,
Summary Of Sales by Items,,,,,,,,,,,,,,,
Description,Qty,Mode 1,,Qty,Mode 2,,Qty,Mode 3,Qty,Mode 4,Qty,Total Amount,,,%
Mi Cuit,16.00,0.00,,0.00,0.00,,0.00,0.00,0.00,0.00,16.00,0.00,,,0.00
No Cheddar Cheese,6.00,0.00,,0.00,0.00,,0.00,0.00,0.00,0.00,6.00,0.00,,,0.00
No Cocktail Sauce,5.00,0.00,,0.00,0.00,,0.00,0.00,0.00,0.00,5.00,0.00,,,0.00
No Frite,35.00,0.00,,0.00,0.00,,0.00,0.00,0.00,0.00,35.00,0.00,,,0.00
No Lettuce,3.00,0.00,,0.00,0.00,,0.00,0.00,0.00,0.00,3.00,0.00,,,0.00
No Onion,12.00,0.00,,0.00,0.00,,0.00,0.00,0.00,0.00,12.00,0.00,,,0.00
No Pickles,15.00,0.00,,0.00,0.00,,0.00,0.00,0.00,0.00,15.00,0.00,,,0.00
No Tomato,8.00,0.00,,0.00,0.00,,0.00,0.00,0.00,0.00,8.00,0.00,,,0.00
Normal,25.00,0.00,,0.00,0.00,,0.00,0.00,0.00,0.00,25.00,0.00,,,0.00
Not Spicy,14.00,0.00,,0.00,0.00,,0.00,0.00,0.00,0.00,14.00,0.00,,,0.00
Nuts,67.00,0.00,,0.00,0.00,,0.00,0.00,0.00,0.00,67.00,0.00,,,0.00
Rare,58.00,0.00,,0.00,0.00,,0.00,0.00,0.00,0.00,58.00,0.00,,,0.00
Replace with Rice,1.00,0.00,,0.00,0.00,,0.00,0.00,0.00,0.00,1.00,0.00,,,0.00
Sauce on the side,141.00,0.00,,0.00,0.00,,0.00,0.00,0.00,0.00,141.00,0.00,,,0.00
Spicy,40.00,0.00,,0.00,0.00,,0.00,0.00,0.00,0.00,40.00,0.00,,,0.00
Tarte aux Fraises,21.00,0.00,,0.00,0.00,,0.00,0.00,0.00,0.00,21.00,0.00,,,0.00
Tarte aux Noix,6.00,0.00,,0.00,0.00,,0.00,0.00,0.00,0.00,6.00,0.00,,,0.00
Well Done,233.00,0.00,,0.00,0.00,,0.00,0.00,0.00,0.00,233.00,0.00,,,0.00
Wet Wipes,187.00,0.00,,0.00,0.00,,0.00,0.00,0.00,0.00,187.00,0.00,,,0.00
White Sauce Only,2.00,0.00,,0.00,0.00,,0.00,0.00,0.00,0.00,2.00,0.00,,,0.00
Modifier,"3,094.50",399.56,,0.00,0.00,,0.00,0.00,0.00,0.00,"3,094.50",399.56,,,0.54
Group: Plats Principaux,,,,,,,,,,,,,,,
Crispy Chicken Burger,1.00,10.81,,0.00,0.00,,0.00,0.00,0.00,0.00,1.00,10.81,,,0.11
,,,,,,To Date: 31-Jan-2026,,,,,,,,,
14-Feb-26,,,From Date: 01-Jan-2026,,,,,,,,,,Page 9 of, 41,
Summary Of Sales by Items,,,,,,,,,,,,,,,
Description,Qty,Mode 1,,Qty,Mode 2,,Qty,Mode 3,Qty,Mode 4,Qty,Total Amount,,,%
Duck Confit,57.00,"1,643.25",,0.00,0.00,,0.00,0.00,0.00,0.00,57.00,"1,643.25",,,16.29
Fish And Chips,21.00,491.88,,0.00,0.00,,0.00,0.00,0.00,0.00,21.00,491.88,,,4.88
